Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",183006,7450,12571,2819,1462,2925,2527,1422,4132,5000,3663,4279,6010,4164,5806,6796,5399,31412,6641,5926,19371,16095,18731,7207,1042,156
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",163527,7201,9466,1967,2768,3642,4090,3593,5310,3381,5835,2707,6022,5725,6095,10181,4197,28207,7686,5242,17625,6260,12615,3526,94,92
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",214056,6849,10809,1401,1182,2182,2954,5191,2386,5076,6393,3053,8014,6212,5322,6684,2104,32003,7670,6292,22931,8983,37079,16388,3672,3226
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",145234,4287,3838,840,2789,979,677,3200,683,3021,2489,2738,3827,663,4234,4526,1542,21202,2703,5527,22565,2269,28413,14108,3170,4944
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",146741,6212,3674,2046,2756,922,2528,2588,4237,1931,3189,3531,2952,4761,7111,4970,1050,21174,3081,2235,20050,4816,23806,12477,2220,2424
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",110228,3547,4472,639,495,80,1078,2014,1661,2657,1658,2575,5626,4262,3737,4698,1961,16119,5511,2680,9221,3937,19476,8774,1393,1957
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",204560,6726,2822,2671,1678,721,2666,1283,2414,1659,811,1177,1491,903,1463,982,1044,12994,1450,2171,6901,5872,70154,40615,21002,12890
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",191272,6702,2817,3848,2115,2975,1316,1516,1791,1994,1488,1321,2628,931,3882,2228,1429,6827,3495,3298,12828,3050,53241,43082,16851,9619
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",165347,2599,2141,1401,1229,1508,1223,720,1335,1065,2348,923,2182,929,2338,1300,1782,11025,3660,3732,13853,6007,55904,29838,12656,3649
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",143245,2072,1971,1357,561,637,402,527,1544,439,282,1046,1871,1243,927,734,246,7617,716,3682,11833,2108,53689,31529,12146,4066
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",155440,2258,6502,987,1171,521,1160,1454,3178,1665,8889,3154,3826,4387,1325,2723,4647,18720,4273,3106,13054,5451,42959,15832,1890,2308
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",151626,4636,1809,2251,562,1113,1708,620,2222,1160,1055,1599,1379,872,1365,827,1363,6638,1186,2310,9410,3435,59742,26474,12071,5819
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",163701,4395,3717,1793,2751,1115,967,3000,1283,2460,2262,2129,4375,2097,3335,3667,2084,39888,5250,6600,20092,7249,27875,11886,2672,759
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",138210,5930,4364,1246,2438,2050,2073,1862,2633,1922,3340,3697,3159,2495,3145,3401,2351,27923,4264,4626,12369,8538,21537,8251,3765,831
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",174443,5617,6997,2657,2175,1441,1644,5305,3458,3373,3587,2005,3449,4089,6205,4135,4120,31133,7053,9490,16449,7783,26552,12028,2733,965
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",162198,9425,6549,3419,3653,1412,2302,1967,2661,3055,3137,2199,3680,3693,3532,4303,4936,17704,2968,3568,10684,3487,43751,14742,3991,1380
